DATE,PRCP,TAVG,TMAX,TMIN,WIND_MAX(kph),WIND_MIN(kph),AVG_WIND(kph),HUMIDITY_(%),Weather
2013-09-07,0.0,30.5,35.1,26.0,18.4,18.4,9.2,59.1,Partially cloudy
2013-09-08,0.0,29.9,34.1,27.1,18.3,18.3,9.15,65.7,Partially cloudy
2013-09-09,4.253,29.5,34.0,26.4,55.2,55.2,27.6,69.4,"Rain, Partially cloudy"
2013-09-10,0.0,30.6,35.1,25.0,18.4,18.4,9.2,64.2,Partially cloudy
2013-09-11,0.0,31.6,36.1,27.2,13.0,13.0,6.5,60.6,Partially cloudy
2013-09-12,0.0,30.9,35.0,26.6,13.6,13.6,6.8,68.1,Partially cloudy
2013-09-13,0.0,30.5,35.3,27.0,7.8,7.8,3.9,71.2,Partially cloudy
2013-09-14,0.0,31.2,36.1,27.0,16.6,16.6,8.3,69.5,Partially cloudy
2013-09-15,0.0,31.4,36.6,27.0,19.6,19.6,9.8,65.7,Partially cloudy
2013-09-16,0.0,29.5,34.1,22.9,18.4,18.4,9.2,66.2,Partially cloudy
2013-09-17,0.0,29.5,35.1,24.3,14.0,14.0,7.0,61.4,Clear
2013-09-18,0.0,29.6,35.3,24.4,18.4,18.4,9.2,63.0,Clear
2013-09-19,0.0,29.8,35.1,25.0,11.9,11.9,5.95,66.7,Clear
2013-09-20,1.1,29.0,33.1,26.5,33.5,26.1,29.8,72.9,"Rain, Partially cloudy"
2013-09-21,24.669,26.6,33.0,24.0,31.3,22.3,26.8,84.8,"Rain, Partially cloudy"
2013-09-22,0.0,28.9,33.0,24.0,16.8,16.8,8.4,77.6,Partially cloudy
2013-09-23,0.0,30.0,34.0,26.9,12.2,12.2,6.1,74.4,Partially cloudy
2013-09-24,0.0,30.6,35.3,27.4,18.4,18.4,9.2,72.1,Partially cloudy
2013-09-25,27.221,28.8,33.4,26.3,14.8,14.8,7.4,76.2,"Rain, Partially cloudy"
2013-09-26,2.3,28.1,33.7,25.0,15.6,15.6,7.8,81.5,"Rain, Partially cloudy"
2013-09-27,0.34,28.5,34.0,26.0,19.1,19.1,9.55,78.6,"Rain, Partially cloudy"
2013-09-28,0.0,29.4,35.0,25.0,11.2,11.2,5.6,74.3,Partially cloudy
2013-09-29,24.669,28.4,30.1,26.1,14.8,14.8,7.4,81.2,"Rain, Partially cloudy"
2013-09-30,3.925,27.0,30.5,24.7,27.7,16.6,22.15,84.7,"Rain, Partially cloudy"
2013-10-01,0.0,28.5,33.0,25.4,16.6,16.6,8.3,74.6,Partially cloudy
2013-10-02,0.0,28.8,33.6,25.0,22.3,22.3,11.15,68.8,Partially cloudy
2013-10-03,4.4,27.9,33.0,24.0,24.1,24.1,12.05,66.1,"Rain, Partially cloudy"
2013-10-04,1.701,24.5,25.9,23.0,27.7,22.3,25.0,86.2,"Rain, Partially cloudy"
2013-10-05,0.0,27.8,32.3,23.0,14.8,14.8,7.4,73.7,Partially cloudy
2013-10-06,0.0,28.7,33.3,24.0,13.0,13.0,6.5,73.8,Partially cloudy
2013-10-07,0.0,28.9,33.6,26.0,10.1,10.1,5.05,73.9,Partially cloudy
2013-10-08,0.0,29.5,33.5,25.4,9.4,9.4,4.7,70.8,Partially cloudy
2013-10-09,0.0,29.7,34.5,26.0,14.8,14.8,7.4,69.0,Partially cloudy
2013-10-10,0.0,29.6,34.5,25.0,11.2,11.2,5.6,67.4,Partially cloudy
2013-10-11,55.292,24.2,29.0,21.0,37.1,19.3,28.2,85.8,"Rain, Partially cloudy"
2013-10-12,0.0,25.9,30.0,23.0,12.4,12.4,6.2,83.4,Partially cloudy
2013-10-13,0.851,27.4,31.7,24.0,7.6,7.6,3.8,79.4,"Rain, Partially cloudy"
2013-10-14,0.0,27.7,32.0,24.0,18.4,18.4,9.2,77.4,Partially cloudy
2013-10-15,0.0,26.7,32.4,23.0,14.8,14.8,7.4,74.3,Partially cloudy
2013-10-16,0.0,26.6,33.1,21.0,11.2,11.2,5.6,71.4,Clear
